"year","causeOfDeath","sex","deaths"
1953,"All endocrine, nutritional and metabolic diseases","Females",909
1953,"All endocrine, nutritional and metabolic diseases","Total",1381
1954,"All endocrine, nutritional and metabolic diseases","Males",481
1954,"All endocrine, nutritional and metabolic diseases","Females",875
1954,"All endocrine, nutritional and metabolic diseases","Total",1356
1955,"All endocrine, nutritional and metabolic diseases","Males",516
1955,"All endocrine, nutritional and metabolic diseases","Females",904
1955,"All endocrine, nutritional and metabolic diseases","Total",1420
1956,"All endocrine, nutritional and metabolic diseases","Males",520
1956,"All endocrine, nutritional and metabolic diseases","Females",952
1956,"All endocrine, nutritional and metabolic diseases","Total",1472
1957,"All endocrine, nutritional and metabolic diseases","Males",568
1957,"All endocrine, nutritional and metabolic diseases","Females",839
1957,"All endocrine, nutritional and metabolic diseases","Total",1407
1958,"All endocrine, nutritional and metabolic diseases","Males",539
1958,"All endocrine, nutritional and metabolic diseases","Females",865
1958,"All endocrine, nutritional and metabolic diseases","Total",1404
1959,"All endocrine, nutritional and metabolic diseases","Males",568
1959,"All endocrine, nutritional and metabolic diseases","Females",839
1959,"All endocrine, nutritional and metabolic diseases","Total",1407
1960,"All endocrine, nutritional and metabolic diseases","Males",581
1960,"All endocrine, nutritional and metabolic diseases","Females",859
1960,"All endocrine, nutritional and metabolic diseases","Total",1440
1961,"All endocrine, nutritional and metabolic diseases","Males",595
1961,"All endocrine, nutritional and metabolic diseases","Females",917
1961,"All endocrine, nutritional and metabolic diseases","Total",1512
1962,"All endocrine, nutritional and metabolic diseases","Males",663
1962,"All endocrine, nutritional and metabolic diseases","Females",927
1962,"All endocrine, nutritional and metabolic diseases","Total",1590
1963,"All endocrine, nutritional and metabolic diseases","Males",653
1963,"All endocrine, nutritional and metabolic diseases","Females",917
1963,"All endocrine, nutritional and metabolic diseases","Total",1570
1964,"All endocrine, nutritional and metabolic diseases","Males",721
1964,"All endocrine, nutritional and metabolic diseases","Females",1039
1964,"All endocrine, nutritional and metabolic diseases","Total",1760
1965,"All endocrine, nutritional and metabolic diseases","Males",712
1965,"All endocrine, nutritional and metabolic diseases","Females",1034
1965,"All endocrine, nutritional and metabolic diseases","Total",1746
1966,"All endocrine, nutritional and metabolic diseases","Males",802
1966,"All endocrine, nutritional and metabolic diseases","Females",1134
1966,"All endocrine, nutritional and metabolic diseases","Total",1936
1967,"All endocrine, nutritional and metabolic diseases","Males",835
1967,"All endocrine, nutritional and metabolic diseases","Females",1103
1967,"All endocrine, nutritional and metabolic diseases","Total",1938
1968,"All endocrine, nutritional and metabolic diseases","Males",1083
1968,"All endocrine, nutritional and metabolic diseases","Females",1297
1968,"All endocrine, nutritional and metabolic diseases","Total",2380
1969,"All endocrine, nutritional and metabolic diseases","Males",960
1969,"All endocrine, nutritional and metabolic diseases","Females",1226
1969,"All endocrine, nutritional and metabolic diseases","Total",2186
1970,"All endocrine, nutritional and metabolic diseases","Males",965
1970,"All endocrine, nutritional and metabolic diseases","Females",1337
1970,"All endocrine, nutritional and metabolic diseases","Total",2302
1971,"All endocrine, nutritional and metabolic diseases","Males",1003
1971,"All endocrine, nutritional and metabolic diseases","Females",1281
1971,"All endocrine, nutritional and metabolic diseases","Total",2284
1972,"All endocrine, nutritional and metabolic diseases","Males",1024
1972,"All endocrine, nutritional and metabolic diseases","Females",1261
1972,"All endocrine, nutritional and metabolic diseases","Total",2285
1973,"All endocrine, nutritional and metabolic diseases","Males",1007
1973,"All endocrine, nutritional and metabolic diseases","Females",1174
1973,"All endocrine, nutritional and metabolic diseases","Total",2181
1974,"All endocrine, nutritional and metabolic diseases","Males",1062
1974,"All endocrine, nutritional and metabolic diseases","Females",1323
1974,"All endocrine, nutritional and metabolic diseases","Total",2385
1975,"All endocrine, nutritional and metabolic diseases","Males",975
1975,"All endocrine, nutritional and metabolic diseases","Females",1133
1975,"All endocrine, nutritional and metabolic diseases","Total",2108
1976,"All endocrine, nutritional and metabolic diseases","Males",941
1976,"All endocrine, nutritional and metabolic diseases","Females",1162
1976,"All endocrine, nutritional and metabolic diseases","Total",2103
1977,"All endocrine, nutritional and metabolic diseases","Males",903
1977,"All endocrine, nutritional and metabolic diseases","Females",1068
1977,"All endocrine, nutritional and metabolic diseases","Total",1971
1978,"All endocrine, nutritional and metabolic diseases","Males",976
1978,"All endocrine, nutritional and metabolic diseases","Females",1124
1978,"All endocrine, nutritional and metabolic diseases","Total",2100
1979,"All endocrine, nutritional and metabolic diseases","Males",897
1979,"All endocrine, nutritional and metabolic diseases","Females",1027
1979,"All endocrine, nutritional and metabolic diseases","Total",1924
1980,"All endocrine, nutritional and metabolic diseases","Males",941
1980,"All endocrine, nutritional and metabolic diseases","Females",1156
1980,"All endocrine, nutritional and metabolic diseases","Total",2097
1981,"All endocrine, nutritional and metabolic diseases","Males",971
1981,"All endocrine, nutritional and metabolic diseases","Females",1178
1981,"All endocrine, nutritional and metabolic diseases","Total",2149
1982,"All endocrine, nutritional and metabolic diseases","Males",979
1982,"All endocrine, nutritional and metabolic diseases","Females",1132
1982,"All endocrine, nutritional and metabolic diseases","Total",2111
1983,"All endocrine, nutritional and metabolic diseases","Males",1042
1983,"All endocrine, nutritional and metabolic diseases","Females",1116
1983,"All endocrine, nutritional and metabolic diseases","Total",2158
1984,"All endocrine, nutritional and metabolic diseases","Males",1128
1984,"All endocrine, nutritional and metabolic diseases","Females",1209
1984,"All endocrine, nutritional and metabolic diseases","Total",2337
1985,"All endocrine, nutritional and metabolic diseases","Males",1098
1985,"All endocrine, nutritional and metabolic diseases","Females",1357
1985,"All endocrine, nutritional and metabolic diseases","Total",2455
1986,"All endocrine, nutritional and metabolic diseases","Males",1156
1986,"All endocrine, nutritional and metabolic diseases","Females",1300
1986,"All endocrine, nutritional and metabolic diseases","Total",2456
1987,"All endocrine, nutritional and metabolic diseases","Males",1288
1987,"All endocrine, nutritional and metabolic diseases","Females",1378
1987,"All endocrine, nutritional and metabolic diseases","Total",2666
1988,"All endocrine, nutritional and metabolic diseases","Males",1219
1988,"All endocrine, nutritional and metabolic diseases","Females",1395
1988,"All endocrine, nutritional and metabolic diseases","Total",2614
1989,"All endocrine, nutritional and metabolic diseases","Males",1300
1989,"All endocrine, nutritional and metabolic diseases","Females",1420
1989,"All endocrine, nutritional and metabolic diseases","Total",2720
1990,"All endocrine, nutritional and metabolic diseases","Males",1397
1990,"All endocrine, nutritional and metabolic diseases","Females",1400
1990,"All endocrine, nutritional and metabolic diseases","Total",2797
1991,"All endocrine, nutritional and metabolic diseases","Males",1427
1991,"All endocrine, nutritional and metabolic diseases","Females",1512
1991,"All endocrine, nutritional and metabolic diseases","Total",2939
1992,"All endocrine, nutritional and metabolic diseases","Males",1473
1992,"All endocrine, nutritional and metabolic diseases","Females",1616
1992,"All endocrine, nutritional and metabolic diseases","Total",3089
1993,"All endocrine, nutritional and metabolic diseases","Males",1632
1993,"All endocrine, nutritional and metabolic diseases","Females",1664
1993,"All endocrine, nutritional and metabolic diseases","Total",3296
1994,"All endocrine, nutritional and metabolic diseases","Males",1758
1994,"All endocrine, nutritional and metabolic diseases","Females",1816
1994,"All endocrine, nutritional and metabolic diseases","Total",3574
1995,"All endocrine, nutritional and metabolic diseases","Males",1770
1995,"All endocrine, nutritional and metabolic diseases","Females",1807
1995,"All endocrine, nutritional and metabolic diseases","Total",3577
1996,"All endocrine, nutritional and metabolic diseases","Males",1955
1996,"All endocrine, nutritional and metabolic diseases","Females",1935
1996,"All endocrine, nutritional and metabolic diseases","Total",3890
1997,"All endocrine, nutritional and metabolic diseases","Males",2008
1997,"All endocrine, nutritional and metabolic diseases","Females",2088
1997,"All endocrine, nutritional and metabolic diseases","Total",4096
1998,"All endocrine, nutritional and metabolic diseases","Males",2003
1998,"All endocrine, nutritional and metabolic diseases","Females",1962
1998,"All endocrine, nutritional and metabolic diseases","Total",3965
1999,"All endocrine, nutritional and metabolic diseases","Males",2001
1999,"All endocrine, nutritional and metabolic diseases","Females",2099
1999,"All endocrine, nutritional and metabolic diseases","Total",4100
2000,"All endocrine, nutritional and metabolic diseases","Males",2141
2000,"All endocrine, nutritional and metabolic diseases","Females",2016
2000,"All endocrine, nutritional and metabolic diseases","Total",4157
2001,"All endocrine, nutritional and metabolic diseases","Males",2223
2001,"All endocrine, nutritional and metabolic diseases","Females",2091
2001,"All endocrine, nutritional and metabolic diseases","Total",4314
2002,"All endocrine, nutritional and metabolic diseases","Males",2383
2002,"All endocrine, nutritional and metabolic diseases","Females",2283
2002,"All endocrine, nutritional and metabolic diseases","Total",4666
2003,"All endocrine, nutritional and metabolic diseases","Males",2449
2003,"All endocrine, nutritional and metabolic diseases","Females",2272
2003,"All endocrine, nutritional and metabolic diseases","Total",4721
2004,"All endocrine, nutritional and metabolic diseases","Males",2553
2004,"All endocrine, nutritional and metabolic diseases","Females",2515
2004,"All endocrine, nutritional and metabolic diseases","Total",5068
2005,"All endocrine, nutritional and metabolic diseases","Males",2424
2005,"All endocrine, nutritional and metabolic diseases","Females",2565
2005,"All endocrine, nutritional and metabolic diseases","Total",4989
